id,symbol,type,entryPrice,initialSize,currentSize,stopLoss,openTime,closeTime,closePrice,pnl,status,strategy
quant-1769780350134,XAUUSD,SELL,5036.68,0.01,0.01,5042.5,1769780350134,1769780404788,5041.5,-4.525248997824203,CLOSED,AI_AGENT
quant-1769780770762,XAUUSD,SELL,5028.3,0.01,0.006,5028.3,1769780770762,1769781610741,5027.34,5.1985426753727,CLOSED,AI_AGENT
quant-1769781236069,XAUUSD,SELL,4998.77,0.01,0.01,5004.5,1769781236069,1769781250682,5004.225,-4.804035389726973,CLOSED,AI_AGENT
quant-1769783401921,XAUUSD,SELL,5073.005,0.01,0.01,5080,1769783401921,1769783506341,5080.705,-6.251386469512402,CLOSED,AI_AGENT
quant-1769785566744,XAUUSD,SELL,4994.17,0.01,0.01,5002.5,1769785566744,1769785571707,5001.5,-6.336143327931699,CLOSED,AI_AGENT
quant-1769787131106,XAUUSD,SELL,5048.34,0.01,0.01,5055,1769787131106,1769787314429,5054.52,-5.174625386274455,CLOSED,AI_AGENT
quant-1769788274034,XAUUSD,SELL,5070.855,0.01,0,5048.340974999999,1769788274034,1769789102400,5023.23,18.860169191574613,CLOSED,AI_AGENT
quant-1769788694997,XAUUSD,SELL,5045.905,0.01,0.01,5052,1769788694997,1769788708736,5051.66,-4.835389072093733,CLOSED,AI_AGENT
quant-1769788995956,XAUUSD,SELL,5031.9400000000005,0.01,0.002,4998.343349999999,1769788995956,1769791336684,4998.245000000001,34.87872473168917,CLOSED,AI_AGENT
quant-1769789296743,XAUUSD,SELL,5028.84,0.01,0.01,5035,1769789296743,1769789388189,5034.6900000000005,-4.830108404242997,CLOSED,AI_AGENT
quant-1769789597373,XAUUSD,SELL,5022.925,0.01,0.01,5030,1769789597373,1769789634224,5029.345,-5.198410240904762,CLOSED,AI_AGENT
quant-1769790259769,XAUUSD,SELL,4999.370000000001,0.01,0.01,5005,1769790259769,1769790387273,5003.9400000000005,-4.160564262865417,CLOSED,AI_AGENT
quant-1769790560017,XAUUSD,SELL,4997.705,0.01,0.01,5005,1769790560017,1769790730467,5006.375,-6.636128087111826,CLOSED,AI_AGENT
quant-1769791418696,XAUUSD,SELL,5007.865,0.01,0.01,5015,1769791418696,1769791427874,5014,-5.53428231033534,CLOSED,AI_AGENT
quant-1769791913080,XAUUSD,SELL,4968.165,0.01,0.01,4975,1769791913080,1769792078124,4979.8099999999995,-9.53901445979,CLOSED,AI_AGENT
quant-1769795589864,XAUUSD,SELL,4836.51,0.01,0.002,4826.3745,1769795589864,1769795773062,4826.26,13.633208441599319,CLOSED,AI_AGENT
quant-1769796071412,XAUUSD,BUY,4856.145,0.01,0.006,4856.145,1769796071412,1769796201325,4857.615,3.50961250986646,CLOSED,AI_AGENT
quant-1769798785325,XAUUSD,SELL,4795.3,0.01,0.01,4805,1769798785325,1769798791639,4802.95,-7.4108417328954745,CLOSED,AI_AGENT
quant-1769800952982,XAUUSD,SELL,4873.035,0.01,0.002,4866.05435,1769800952982,1769801085815,4864.9349999999995,13.634476478150667,CLOSED,AI_AGENT
quant-1769802217048,XAUUSD,SELL,4917.9349999999995,0.01,0.01,4926.5,1769802217048,1769802252286,4925.98,-6.781058268222095,CLOSED,AI_AGENT
quant-1769804502582,XAUUSD,BUY,4905.764999999999,0.01,0.01,4899.68,1769804502582,1769804541149,4900.639999999999,-4.510624621070478,CLOSED,AI_AGENT
quant-1769805524737,XAUUSD,SELL,4847.075,0.01,0.01,4855,1769805524737,1769805531674,4853.8150000000005,-5.973191876459181,CLOSED,AI_AGENT
